State_index,Jurisdiction,Time,Type,Name,Formatted_Text,Amount (million dollars),Description,Link,Source,Start
,Arkansas,Pandemic,PLAN 1,Arkansas State Broadband Plan,Pandemic PLAN 1: Arkansas State Broadband Plan,,,https://governor.arkansas.gov/images/uploads/Arkansas_State_Broadband_Plan_Final_5.15_.19_.pdf,PEW_May2021,0
1,California,Pre-pandemic,Office,Office of Broadband and Digital Literacy,Pre-pandemic Office: Office of Broadband and Digital Literacy,,,,PEW_July2019,0
2,California,Pre-pandemic,Agency,Department of Technology,Pre-pandemic Agency: Department of Technology,,,,PEW_July2019,0
3,California,Pre-pandemic,Agency,Public Utilities Commission,Pre-pandemic Agency: Public Utilities Commission,,,,PEW_July2019,0
4,California,Pre-pandemic,Agency,Department of Transportation,Pre-pandemic Agency: Department of Transportation,,,,PEW_July2019,0
5,California,Pre-pandemic,Agency,California State Library,Pre-pandemic Agency: California State Library,,,,PEW_July2019,0
6,California,Pre-pandemic,Task Force,California Broadband Council,Pre-pandemic Task Force: California Broadband Council,,,,PEW_July2019,0
7,California,Pre-pandemic,Goal,"The goal of the program is, no later than December 31, 2022, to approve funding for infrastructure projects that will provide broadband access to no less than 98 percent of California households in each consortia region, as identified by the commission on or before January 1, 2017. The commission shall be responsible for achieving the goals of the program.”","Pre-pandemic Goal: The goal of the program is, no later than December 31, 2022, to approve funding for infrastructure projects that will provide broadband access to no less than 98 percent of California households in each consortia region, as identified by the commission on or before January 1, 2017. The commission shall be responsible for achieving the goals of the program.”",,,,PEW_July2019,0
8,California,Pre-pandemic,Fund,California Advances Services Fund,Pre-pandemic Fund: California Advances Services Fund,,,,PEW_July2019,0
9,California,Pre-pandemic,Fund,Teleconnect Fund,Pre-pandemic Fund: Teleconnect Fund,,,,PEW_July2019,0
,California,Pandemic,AGENCY 1,Department of Technology,Pandemic AGENCY 1: Department of Technology,,,https://cdt.ca.gov/,PEW_May2021,0
,California,Pandemic,AGENCY 2,Public Utilities Commission,Pandemic AGENCY 2: Public Utilities Commission,,,http://www.cpuc.ca.gov/Communications/,PEW_May2021,0
,California,Pandemic,AGENCY 3,Department of Transportation,Pandemic AGENCY 3: Department of Transportation,,,https://dot.ca.gov/programs/design/wired-broadband,PEW_May2021,0
,California,Pandemic,AGENCY 4,California State Library,Pandemic AGENCY 4: California State Library,,,http://www.library.ca.gov/services/to-libraries/broadband/,PEW_May2021,0
,California,Pandemic,FUND 1,California Advanced Services Fund,Pandemic FUND 1: California Advanced Services Fund,,,http://www.cpuc.ca.gov/casf/,PEW_May2021,0
,California,Pandemic,FUND 2,Teleconnect Fund,Pandemic FUND 2: Teleconnect Fund,,,https://www.cpuc.ca.gov/ctf/,PEW_May2021,0
,California,Pandemic,GOAL 1,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB1665,Pandemic GOAL 1: https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB1665,,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB1665,PEW_May2021,0
,California,Pandemic,GOAL 2,https://www.gov.ca.gov/wp-content/uploads/2020/08/8.14.20-EO-N-73-20-text.pdf,Pandemic GOAL 2: https://www.gov.ca.gov/wp-content/uploads/2020/08/8.14.20-EO-N-73-20-text.pdf,,,https://www.gov.ca.gov/wp-content/uploads/2020/08/8.14.20-EO-N-73-20-text.pdf,PEW_May2021,0
,California,Pandemic,MAP 1,California Interactive Broadband Map,Pandemic MAP 1: California Interactive Broadband Map,,,http://www.broadbandmap.ca.gov/,PEW_May2021,0
,California,Pandemic,OFFICE 1,Office of Broadband and Digital Literacy,Pandemic OFFICE 1: Office of Broadband and Digital Literacy,,,https://cdt.ca.gov/broadband-and-digital-literacy-office/,PEW_May2021,0
,California,Pandemic,PLAN 1,Broadband for All Action Plan,Pandemic PLAN 1: Broadband for All Action Plan,,,https://broadbandcouncil.ca.gov/wp-content/uploads/sites/68/2020/12/BB4All-Action-Plan-Final.pdf ,PEW_May2021,0
,California,Pandemic,TASK FORCE 1,California Broadband Council,Pandemic TASK FORCE 1: California Broadband Council,,,https://broadbandcouncil.ca.gov/,PEW_May2021,0
1,Colorado,Pre-pandemic,Office,Colorado Broadband Office,Pre-pandemic Office: Colorado Broadband Office,,,,PEW_July2019,0
2,Colorado,Pre-pandemic,Agency,Governor’s Office of Information Technology,Pre-pandemic Agency: Governor’s Office of Information Technology,,,,PEW_July2019,0
3,Colorado,Pre-pandemic,Agency,Department of Local Affairs,Pre-pandemic Agency: Department of Local Affairs,,,,PEW_July2019,0
4,Colorado,Pre-pandemic,Agency,Department of Regulatory Agencies (Public Utilities Commission),Pre-pandemic Agency: Department of Regulatory Agencies (Public Utilities Commission),,,,PEW_July2019,0
5,Colorado,Pre-pandemic,Task Force,Broadband Deployment Board,Pre-pandemic Task Force: Broadband Deployment Board,,,,PEW_July2019,0
6,Colorado,Pre-pandemic,Plan,Statewide Telecommunications Infrastructure Plan,Pre-pandemic Plan: Statewide Telecommunications Infrastructure Plan,,,,PEW_July2019,0
7,Colorado,Pre-pandemic,Goal,"“Increase the percentage of rural households with access to basic (Federal Communications Commission-(FCC) defined - 25/3Mbps) broadband from 59% as of June 2015 to 85% by 2018 and 100% by 2020, increase the percentage of Statewide households with access to basic broadband from 87% as of June 2015 to 96% by 2018, and increase the percentage of school districts with access to broadband that meets national standards for school connectivity from 74% in 2015 to 100% by 2018.” ","Pre-pandemic Goal: “Increase the percentage of rural households with access to basic (Federal Communications Commission-(FCC) defined - 25/3Mbps) broadband from 59% as of June 2015 to 85% by 2018 and 100% by 2020, increase the percentage of Statewide households with access to basic broadband from 87% as of June 2015 to 96% by 2018, and increase the percentage of school districts with access to broadband that meets national standards for school connectivity from 74% in 2015 to 100% by 2018.” ",,,,PEW_July2019,0
8,Colorado,Pre-pandemic,Fund,Broadband Deployment Fund,Pre-pandemic Fund: Broadband Deployment Fund,,,,PEW_July2019,0
9,Colorado,Pre-pandemic,Fund,Colorado High Cost Support Mechanism,Pre-pandemic Fund: Colorado High Cost Support Mechanism,,,,PEW_July2019,0
,Colorado,Pandemic,AGENCY 1,Governor's Office of Information Technology,Pandemic AGENCY 1: Governor's Office of Information Technology,,,http://broadband.co.gov/,PEW_May2021,0
,Colorado,Pandemic,AGENCY 2,Department of Local Affairs,Pandemic AGENCY 2: Department of Local Affairs,,,https://www.colorado.gov/pacific/dola/broadband-program,PEW_May2021,0
,Colorado,Pandemic,AGENCY 3,Department of Regulatory Agencies (Broadband Deployment Board),Pandemic AGENCY 3: Department of Regulatory Agencies (Broadband Deployment Board),,,https://broadbandfund.colorado.gov/broadband-deployment-board ,PEW_May2021,0
,Colorado,Pandemic,AGENCY 4,Colorado Public Utilities Commission ,Pandemic AGENCY 4: Colorado Public Utilities Commission ,,,https://puc.colorado.gov/,PEW_May2021,0
,Colorado,Pandemic,FUND 1,Broadband Deployment Fund,Pandemic FUND 1: Broadband Deployment Fund,,,https://www.colorado.gov/pacific/dora-broadband-fund,PEW_May2021,0
,Colorado,Pandemic,FUND 2,Colorado High Cost Support Mechanism,Pandemic FUND 2: Colorado High Cost Support Mechanism,,,https://puc.colorado.gov/hcsm,PEW_May2021,0
,Colorado,Pandemic,FUND 3,Colorado Department of Local Affairs Broadband Program ,Pandemic FUND 3: Colorado Department of Local Affairs Broadband Program ,,,https://cdola.colorado.gov/funding-programs/broadband-program ,PEW_May2021,0
,Colorado,Pandemic,GOAL 1,https://drive.google.com/file/d/1U6n1Ei2mn8ZuP31A9PRRi4FZ40WaiJ0F/view,Pandemic GOAL 1: https://drive.google.com/file/d/1U6n1Ei2mn8ZuP31A9PRRi4FZ40WaiJ0F/view,,,https://drive.google.com/file/d/1U6n1Ei2mn8ZuP31A9PRRi4FZ40WaiJ0F/view,PEW_May2021,0
,Colorado,Pandemic,MAP 1,Colorado Broadband Map ,Pandemic MAP 1: Colorado Broadband Map ,,,https://gis.colorado.gov/broadbandviewer/index.html?Viewer=broadbandmapping.broadbandmapping_hv/,PEW_May2021,0
,Colorado,Pandemic,MAP 2,Broadband Board Data Toolkit ,Pandemic MAP 2: Broadband Board Data Toolkit ,,,https://gis.colorado.gov/broadbandboard/,PEW_May2021,0
,Colorado,Pandemic,OFFICE 1,Colorado Broadband Office,Pandemic OFFICE 1: Colorado Broadband Office,,,http://broadband.co.gov/,PEW_May2021,0
,Colorado,Pandemic,TASK FORCE 1,Broadband Deployment Board,Pandemic TASK FORCE 1: Broadband Deployment Board,,,https://broadbandfund.colorado.gov/broadband-deployment-board,PEW_May2021,0
,Colorado,Pandemic,TASK FORCE 2,Broadband Advisory Board,Pandemic TASK FORCE 2: Broadband Advisory Board,,,https://broadband.co.gov/broadband-advisory-board/ ,PEW_May2021,0
1,Connecticut,Pre-pandemic,Office,Connecticut State Broadband Initiative,Pre-pandemic Office: Connecticut State Broadband Initiative,,,,PEW_July2019,0
2,Connecticut,Pre-pandemic,Agency,Office of Consumer Counsel,Pre-pandemic Agency: Office of Consumer Counsel,,,,PEW_July2019,0
3,Connecticut,Pre-pandemic,Task Force,Commission on Educational Technology,Pre-pandemic Task Force: Commission on Educational Technology,,,,PEW_July2019,0
4,Connecticut,Pre-pandemic,Plan,2014 Updated State Broadband Plan,Pre-pandemic Plan: 2014 Updated State Broadband Plan,,,,PEW_July2019,0
5,Connecticut,Pre-pandemic,Goal,Affordable broadband internet access to all premises across the state.,Pre-pandemic Goal: Affordable broadband internet access to all premises across the state.,,,,PEW_July2019,0
6,Connecticut,Pandemic,Fund,CRF Education Re-Opening,Pandemic Fund: CRF Education Re-Opening,164.5,"In order to facilitate the safe reopening of schools in the Fall and to support the academic success of all students, up to $164.5 million from the federal Coronavirus Relief Fund  (CRF) is being allocated to support schools, teachers, and students.  Combined with other funding sources, a total of $266.3 million has been committed to Connecticut school districts to support our K-12 schools’ safely reopening this Fall.  CRF funds will support bridging the technology gap, providing quality academic supports for all students, and implementing public health best practices to keep students and staff safe.",https://portal.ct.gov/OPM/Coronavirus/Coronavirus-Relief-Fund/CRF-Overview,,0
,Connecticut,Pandemic,AGENCY 1,Office of Consumer Counsel,Pandemic AGENCY 1: Office of Consumer Counsel,,,https://portal.ct.gov/OCC/Services/Broadband,PEW_May2021,0
,Connecticut,Pandemic,FUND 1,Everybody Learns Initiative ,Pandemic FUND 1: Everybody Learns Initiative ,,,https://portal.ct.gov/SDE/COVID19/Everybody-Learns-Initiative,PEW_May2021,0
,Connecticut,Pandemic,OFFICE 1,Connecticut State Broadband Office,Pandemic OFFICE 1: Connecticut State Broadband Office,,,https://portal.ct.gov/OCC/Services/Broadband,PEW_May2021,0
,Connecticut,Pandemic,TASK FORCE 1,Connecticut Commission for Educational Technology,Pandemic TASK FORCE 1: Connecticut Commission for Educational Technology,,,https://portal.ct.gov/DAS/CTEdTech/Commission-for-Educational-Technology/Educational-Technology-Goals-and-Plan,PEW_May2021,0
1,Delaware,Pre-pandemic,Agency,Department of Technology and Information,Pre-pandemic Agency: Department of Technology and Information,,,,PEW_July2019,0
2,Delaware,Pre-pandemic,Fund,Delaware Broadband Fund Phase II Initiative,Pre-pandemic Fund: Delaware Broadband Fund Phase II Initiative,,,,PEW_July2019,0
3,Delaware,Pandemic,Fund,"$20 million for broadband infrastructure, with $13 million directed toward wireless vouchers and devices for underserved families with school-age children.","Pandemic Fund: $20 million for broadband infrastructure, with $13 million directed toward wireless vouchers and devices for underserved families with school-age children.",20,"$20 million for broadband infrastructure, with $13 million directed toward wireless vouchers and devices for underserved families with school-age children.",https://www.nga.org/center/publications/expand-affordable-broadband/,National Governor's Association,0
,Delaware,Pandemic,AGENCY 1,Department of Technology and Information,Pandemic AGENCY 1: Department of Technology and Information,,,https://dti.delaware.gov/digital-innovation/,PEW_May2021,0
,Delaware,Pandemic,FUND 1,Delaware Broadband Fund,Pandemic FUND 1: Delaware Broadband Fund,,,https://dti.delaware.gov/digital-innovation/delaware-broadband-grant-opportunity/,PEW_May2021,0
,Delaware,Pandemic,TASK FORCE 1,Delaware Broadband Initiative,Pandemic TASK FORCE 1: Delaware Broadband Initiative,,,https://broadband.delaware.gov,PEW_May2021,0
-99,Florida,Dup,AGENCY 1,Florida Department of Management Services,Dup AGENCY 1: Florida Department of Management Services,,,https://www.dms.myflorida.com/,PEW_May2021,0
1,Florida,Pre-pandemic,Agency,Department of Management Services,Pre-pandemic Agency: Department of Management Services,,,,PEW_July2019,0
2,Florida,Pandemic,AGENCY 2,Florida Department of Economic Opportunity ,Pandemic AGENCY 2: Florida Department of Economic Opportunity ,,,https://floridajobs.org/community-planning-and-development/broadband/office-of-broadband,PEW_May2021,0
3,Florida,Pandemic,AGENCY 3,Florida Department of Transportation,Pandemic AGENCY 3: Florida Department of Transportation,,,https://www.fdot.gov/traffic/itsfm/newusersagencies/about-itsfm,PEW_May2021,0
4,Florida,Pandemic,FUND 1,Florida State Transportation Trust Fund ,Pandemic FUND 1: Florida State Transportation Trust Fund ,,,http://laws.flrules.org/2020/26,PEW_May2021,0
5,Florida,Pandemic,FUND 2,Broadband Opportunity Program ,Pandemic FUND 2: Broadband Opportunity Program ,,,https://flsenate.gov/Session/Bill/2021/1239/BillText/er/PDF,PEW_May2021,0
6,Florida,Pandemic,OFFICE 1,Florida Broadband Office,Pandemic OFFICE 1: Florida Broadband Office,,,https://floridajobs.org/community-planning-and-development/broadband/office-of-broadband,PEW_May2021,0
1,Georgia,Pre-pandemic,Office,Department of Community Affairs (Georgia Broadband Deployment Initiative),Pre-pandemic Office: Department of Community Affairs (Georgia Broadband Deployment Initiative),,,,PEW_July2019,0
2,Georgia,Pre-pandemic,Agency,Department of Community Affairs,Pre-pandemic Agency: Department of Community Affairs,,,,PEW_July2019,0
3,Georgia,Pre-pandemic,Agency,Georgia Technology Authority,Pre-pandemic Agency: Georgia Technology Authority,,,,PEW_July2019,0
4,Georgia,Pre-pandemic,Agency,Department of Transportation,Pre-pandemic Agency: Department of Transportation,,,,PEW_July2019,0
5,Georgia,Pre-pandemic,Agency,Board of Economic Development,Pre-pandemic Agency: Board of Economic Development,,,,PEW_July2019,0
6,Georgia,Pre-pandemic,Goal,Increase availability of 25 megabit-per-second /3-Mbps service,Pre-pandemic Goal: Increase availability of 25 megabit-per-second /3-Mbps service,,,,PEW_July2019,0
7,Georgia,Pre-pandemic,Map,"Department of Community Affairs, Mapping and Analytics","Pre-pandemic Map: Department of Community Affairs, Mapping and Analytics",,,,PEW_July2019,0
8,Georgia,Pre-pandemic,Fund,Georgia Broadband Deployment Initiative,Pre-pandemic Fund: Georgia Broadband Deployment Initiative,,,,PEW_July2019,0
,Georgia,Pandemic,AGENCY 1,Department of Community Affairs (Georgia Broadband Deployment Initiative),Pandemic AGENCY 1: Department of Community Affairs (Georgia Broadband Deployment Initiative),,,https://www.dca.ga.gov/blog-tags/broadband,PEW_May2021,0
,Georgia,Pandemic,AGENCY 2,Georgia Technology Authority,Pandemic AGENCY 2: Georgia Technology Authority,,,https://gta.georgia.gov/,PEW_May2021,0
,Georgia,Pandemic,AGENCY 3,Department of Transportation,Pandemic AGENCY 3: Department of Transportation,,,http://www.dot.ga.gov/,PEW_May2021,0
,Georgia,Pandemic,AGENCY 4,Board of Economic Development,Pandemic AGENCY 4: Board of Economic Development,,,https://georgia.gov/organization/georgia-department-economic-development,PEW_May2021,0
,Georgia,Pandemic,GOAL 1,https://broadband.georgia.gov/media/7/download,Pandemic GOAL 1: https://broadband.georgia.gov/media/7/download,,,https://broadband.georgia.gov/media/7/download,PEW_May2021,0
,Georgia,Pandemic,MAP 1,Georgia Broadband Map ,Pandemic MAP 1: Georgia Broadband Map ,,,https://broadband.georgia.gov/broadband-mapping,PEW_May2021,0
,Georgia,Pandemic,OFFICE 1,Georgia Broadband Deployment Initiative,Pandemic OFFICE 1: Georgia Broadband Deployment Initiative,,,https://broadband.georgia.gov,PEW_May2021,0
,Georgia,Pandemic,PLAN 1,The State of Georgia Broadband Plan,Pandemic PLAN 1: The State of Georgia Broadband Plan,,,https://broadband.georgia.gov/media/7/download,PEW_May2021,0
1,Hawaii,Pre-pandemic,Agency,Department of Commerce and Consumer Affairs (Cable Television Division),Pre-pandemic Agency: Department of Commerce and Consumer Affairs (Cable Television Division),,,,PEW_July2019,0
2,Hawaii,Pre-pandemic,Agency,"Department of Business, Economic Development, and Tourism","Pre-pandemic Agency: Department of Business, Economic Development, and Tourism",,,,PEW_July2019,0
3,Hawaii,Pre-pandemic,Task Force,Hawaii Broadband Assistance Advisory Council,Pre-pandemic Task Force: Hawaii Broadband Assistance Advisory Council,,,,PEW_July2019,0
4,Hawaii,Pre-pandemic,Plan,“Hawaii Broadband Strategic Plan” (2012),Pre-pandemic Plan: “Hawaii Broadband Strategic Plan” (2012),,,,PEW_July2019,0
5,Hawaii,Pre-pandemic,Goal,"“Meeting the following goals is critical for Hawaii to compete successfully in the global economy of the twenty-first century: 
“(1) Ensure access to broadband communications for all households, businesses, and organizations throughout Hawaii by 2012 at speeds and prices comparable to the average speeds and prices available in the top three performing countries in the world. 
“(2) Increase availability of advanced broadband communications service on a competitive basis to reduce prices, increase service penetration and improve service to all persons in Hawaii.
“(3) Increase broadband availability at affordable costs to low-income and other disadvantaged groups, including making low-cost, broadband capable computers available to eligible recipients. 
“(4) Increase sharing of the infrastructure used to deploy broadband to speed up implementation ... 
“(5) Increase flexible, timely, and responsible access to public rights-of way and public facilities for broadband service providers; and 
“(6) Develop a more streamlined permit approval process.”","Pre-pandemic Goal: “Meeting the following goals is critical for Hawaii to compete successfully in the global economy of the twenty-first century: 
“(1) Ensure access to broadband communications for all households, businesses, and organizations throughout Hawaii by 2012 at speeds and prices comparable to the average speeds and prices available in the top three performing countries in the world. 
“(2) Increase availability of advanced broadband communications service on a competitive basis to reduce prices, increase service penetration and improve service to all persons in Hawaii.
“(3) Increase broadband availability at affordable costs to low-income and other disadvantaged groups, including making low-cost, broadband capable computers available to eligible recipients. 
“(4) Increase sharing of the infrastructure used to deploy broadband to speed up implementation ... 
“(5) Increase flexible, timely, and responsible access to public rights-of way and public facilities for broadband service providers; and 
“(6) Develop a more streamlined permit approval process.”",,,,PEW_July2019,0
6,Hawaii,Pre-pandemic,Map,“No Internet Service Map”,Pre-pandemic Map: “No Internet Service Map”,,,,PEW_July2019,0
7,Hawaii,Pre-pandemic,Map,“Fixed Wireline Broadband Speeds” map,Pre-pandemic Map: “Fixed Wireline Broadband Speeds” map,,,,PEW_July2019,0
